latitude,longitude,TaskID,clientName,Status,Team
24.45670265,39.6234752,61508588,,S-STCKR,waqas
24.4452022,39.67423462,61401782,,S-STCKR,waqas
24.43898321,39.67172628,87968903,,S-STCKR,waqas
24.43935007,39.66635139,61409145,,S-STCKR,waqas
24.44525795,39.68057975,85091058,,S-STCKR,waqas
24.45660862,39.62115462,61373640,,S-STCKR,waqas
24.44780494,39.67933917,61401883,,S-STCKR,waqas
24.43977577,39.67093268,61299627,,S-STCKR,waqas
24.43308256,39.63523785,61456667,,S-STCKR,waqas
24.44642027,39.68045202,61274556,,S-STCKR,waqas
24.4457965,39.63091773,61373703,,S-STCKR,waqas
24.45415784,39.66933408,61373856,,S-STCKR,waqas
24.43797118,39.66378701,61299683,,S-STCKR,waqas
24.44907159,39.68265154,61456234,,S-STCKR,waqas
24.43993135,39.67285208,61458116,,S-STCKR,waqas
24.4383578,39.663498,61299677,,S-STCKR,waqas
24.4489809,39.6832595,84911828,,S-STCKR,waqas
24.44581136,39.66476697,61260103,,S-STCKR,waqas
24.44079725,39.65998889,61373565,,S-STCKR,waqas
24.44715173,39.67878331,61272787,,S-STCKR,waqas
24.44715828,39.67492178,64457421,,S-STCKR,waqas
24.4482053,39.67913203,61456048,,S-STCKR,waqas
24.4606913,39.61413449,61507257,,S-STCKR,waqas
24.44652033,39.68514775,61119996,,S-STCKR,waqas
24.45147738,39.67342536,61356530,,S-STCKR,waqas
24.44360399,39.69295845,61272874,,S-STCKR,waqas
24.43903074,39.68403498,61257511,,S-STCKR,waqas
24.45044998,39.67892143,61457396,,S-STCKR,waqas
24.44650774,39.68164369,61274300,,S-STCKR,waqas
24.44105231,39.68656438,61778265,,S-STCKR,waqas
24.45572202,39.62266644,61500838,,S-STCKR,waqas
24.44107832,39.6661496,61402263,,S-STCKR,waqas
24.462709,39.6189345,61589940,,S-STCKR,waqas
24.4463223,39.68504801,64261984,,S-STCKR,waqas
24.44347176,39.69246599,64261857,,S-STCKR,waqas
24.44672387,39.68203042,61274504,,S-STCKR,waqas
24.45965547,39.61151058,87910950,,S-STCKR,waqas
24.44036984,39.67209401,61402572,,S-STCKR,waqas
24.45592531,39.62350252,61508639,,S-STCKR,waqas
24.43057182,39.65626004,61274736,,S-STCKR,waqas
24.45671712,39.62147953,70389248,,S-STCKR,waqas
24.4561917,39.68260263,61403260,,S-STCKR,waqas
24.44411875,39.69355155,65145215,,S-STCKR,waqas
24.44372776,39.69434481,65144780,,S-STCKR,waqas
24.43976777,39.66516462,61402265,,S-STCKR,waqas
24.45428412,39.62118157,61508030,,S-STCKR,waqas
24.43928047,39.67119118,64290633,,S-STCKR,waqas
24.45743283,39.66814605,61373988,,S-STCKR,waqas
24.46532094,39.63036286,61299651,,S-STCKR,waqas
24.44039771,39.67744396,61300107,,S-STCKR,waqas
24.47105853,39.62941826,61248875,,S-STCKR,shakel
24.4794913,39.6860994,58851667,,S-STCKR,shakel
24.52401701,39.64620745,61259941,,S-STCKR,shakel
24.53315748,39.6780149,61407373,,S-STCKR,shakel
24.45870083,39.62222547,64155235,,S-STCKR,waqas
24.45862446,39.62232491,61500796,,S-STCKR,waqas
24.47948114,39.62871556,58972734,,S-STCKR,shakel
24.44988324,39.67320072,85238405,,S-STCKR,waqas
24.45886757,39.62207316,61272415,,S-STCKR,waqas
24.44081703,39.68645884,61272746,,S-STCKR,waqas
24.45207761,39.64078048,61589448,,S-STCKR,waqas
24.43739641,39.67871323,61299869,,S-STCKR,waqas
24.48916121,39.66323673,58843833,,S-STCKR,shakel
24.50422271,39.64057901,61324964,,S-STCKR,shakel
24.43568661,39.67812772,61257503,,S-STCKR,waqas
24.45649317,39.62415555,65039877,,S-STCKR,waqas
24.44697517,39.67541815,61401796,,S-STCKR,waqas
24.44699335,39.68367254,61456147,,S-STCKR,waqas
24.44564179,39.68763784,61274431,,S-STCKR,waqas
24.44271491,39.69458909,61274323,,S-STCKR,waqas
24.4738538,39.62502149,61153334,,S-STCKR,shakel
24.43949863,39.67257341,61244337,,S-STCKR,waqas
24.52823829,39.67196288,61262765,,S-STCKR,shakel
24.493163,39.664571,58970886,,S-STCKR,shakel
24.52574137,39.64446841,61262664,,S-STCKR,shakel
24.4387017,39.674093,85071870,,S-STCKR,waqas
24.52776744,39.66965273,61287114,,S-STCKR,shakel
